Mesto;Latitude;Longitude;Opis;Tip;Tip_ID
Lednice;48.80470;16.83304;Grad Januv hrad, s kolesom od gradu Statni Zamek;Z;Zanimivo
Macocha;49.37153;16.73076;Propast Macocha Macocha Abyss, 150m globoka vrtaca reke Punkva;Z;Zanimivo
Spilberk;49.19511;16.59820;P grad Spilberk;P;Parking
Strachotin;48.89902;16.56990;Kamp Merkur, delno FKK, ob velikem jezeru Dyje;KAMP;KAMP-FKK
Strachotin;48.90330;16.65114;kamp FreeStar, Sahvica3, Strachotin, ob jezeru, 2osebi+AD+E 320kron/dan, med Brno in Lednice;KAMP;KAMP
SuchDol;49.36198;16.70987;P pri Skalnem Mlynu, podzemna jama Punkevni Jeskyne 180Kc, lepa narava;P;Parking
Valtice;48.73984;16.75741;P Valtice ob palaci;P;Parking
Valtice;48.74174;16.75646;P Valtice na trgu v mestu;P;Parking
Veseli nad Moravi;48.94817;17.37334;P;P;Parking
Veverska Bityska;49.27616;16.45335;kamp Hana Veverska Bityska, SZ od Brno, dobra ladijska povezava do prvega tramvaja ali bus do kampa, os90,AD130,E60kron;KAMP;KAMP
Vyskov;49.28368;16.99155;P ob parku in sportnih objektov, mozno spanje;P;Parking
Vyskov;49.30194;17.02370;Letalski muzej, vstopnina 2E;Z;Zanimivo
Znojmo;48.85809;16.05395;P Znojmo, 10 kron/h;P;Parking
Dolni Dvoriste;48.65004;14.45321;Nakup vinjete na meji, na bencinski je ni;P;Parking
Dolni Dvoriste;48.65232;14.45250;Bencinska, zelo poceni nafta;Z;Zanimivo
Cheb;50.05000;12.41194;kamp Am See Vaclav, CC15E, Jesenice, ob jezeru Stausee, 340kron;KAMP;KAMP
Cheb;50.07726;12.37518;P Cheb, nekoc ceski Nurnberg zaradi bogastva z lesom opazenih his, 25Kc/h;P;Parking
Cheb;50.08472;12.46167;Kamp Rybarska basta, ob jezeru Stausee, 1.1.-31.12. 8-24h, umazna pitna voda;KAMP;KAMP
Chodova Plana;49.89458;12.72926;Beer spa Chodovar, kopalne kadi s pivom, cca 700 CZK/20min, <a href=http://www.chodovar.cz target=_blank>more info...</a>;Z;Zanimivo
Frantiskovy Lazne;50.11392;12.34873;Parkirisce blizu mesta, 4 EUR na dan, spanje;P;Parking
Frantiskovy Lazne;50.14599;12.40231;Narodni park Soos, sotno barje, lesene potke skozi park;Z;Zanimivo
Karlovy Vary;50.10556;13.24758;P Chyse, pri dvorcu in domaci pivovarni, dobra kosila in pivo;P;Parking
Karlovy Vary;50.19598;12.86301;Kamp Brezovy Hay, mozen samo kamper servis 3E;KAMP;KAMP
Karlovy Vary;50.20454;12.89540;kamp Vitkova hora, Karlovy Vary, ob robu smrekovih gozdov, zelo romanticno, sonaravno in cisto, neposredno ob letaliscu;KAMP;KAMP
Karlovy Vary;50.22939;12.86039;P Karlovy Vary ob avtobusni postaji, 1km Z od toplic, ogromen, 60Kc 6-20h;P;Parking
Karlovy Vary;50.23077;12.86814;P Karlovy Vary, Z tik ob centru, zelo lepo mestece;P-Z;Parking
Karlovy Vary;50.23182;12.85864;P Karlovy Vary pri hipermarketu, Z od centra;P;Parking
Karlovy Vary;50.23457;12.86811;PZA skoraj v mestu;PZA;PZA
Karlovy Vary;50.23847;12.84793;P Karlovy Vary poleg sportnega parka, spanje;P;Parking
Loket;50.18600;12.75393;P Loket, trg, majhno srednjevesko mesto, najslikovitejse na CZ ob reki Ohri;P;Parking
Loket;50.18905;12.75034;P Loket, pred mestom in gradom Loket, makadam, zastonj, mozno spanje;P-Z;Parking
Marianske Lazne;49.95280;12.66847;Kamp Luxor, JZ od Marianske Lazne druge najvecje terme na CZ, J od Karlovy Vary;KAMP;KAMP
Marianske Lazne;49.96654;12.70168;Beer Spa Beerland, kopalne kadi s pivom, cca 1600 CZK/60min, <a href=http://www.beerspa-marienbad.cz target=_blank>more info...</a>;Z;Zanimivo
Novy Drahov;50.13941;12.39295;P gostisca Selsky Dvur, spanje, v blizini blizu narodni park SOOS;P;Parking
Sadov;50.26528;12.89889;Kamp Sasanka, Sadov, SV nad Karlovy Vary, lastnica ga.Kasperkova;KAMP;KAMP
Stanoviste;49.94433;12.72776;Kamp Stanoviste, lepo urejen in cist, ima vse;KAMP;KAMP
Havlickuv Brod;49.60652;15.57919;P Havlickuv Brod,, lep trg s fontano grskega boga Tritona;P;Parking
Jaromerice nad Rokytnou;49.09443;15.89291;P Jaromerice nad Rokytnou, velika barocna palaca, grad najvecji na Ceskem;P;Parking
Jihlava;49.39634;15.58999;Grad Zleby;Z;Zanimivo
Lhotka;49.20793;15.38449;kamp Lhotka, 6km od Telca;KAMP;KAMP
Lipnica nad Sazavou;49.61390;15.41389;P Lipnica nad Sazavou, pod gradom brezplacno, nad mestom utrdba;P;Parking
Pelhrimov;49.43191;15.22190;P Pelhrimov, 10 kron/h, lep trg in vhodni stolpi pred starim mestom;P;Parking
Pernstejn;49.45315;16.31375;P grad Pernstejn, odlicno ohranjen, SZ od Brno;P;Parking
Svetla nad Sazavou;49.68475;15.37767;kamp Svetla nad Sazavou, lep in urejen na podezelju;KAMP;KAMP
Telc;49.18696;15.44874;P, placljivo, spanje 4E noc, blizu starega mestnega jedra, na crpalki je WC in voda;PZA;PZA
Trebic;49.21674;15.85889;Kamp Pousov Trebic, lusten mali kamp sredi gozda ob reki in zraven mesta, ~20E 2 odrasla, 1 otrok, pes, elektrika, AD in 2 zetona za tus.;KAMP;KAMP
Trebic;49.21722;15.87889;Jewish Quarter and St Procopius Basilica in Trebic, UNESCO Kulturna dediscina;Z;Unesco
Trebic;49.22312;15.89254;P, spanje, brezplacno, zraven atletskega stadiona, mirno;P;Parking
Zdar nad Sazavou;49.58020;15.94206;Pilgrimage Church of St John of Nepomuk at Zelena Hora, UNESCO Kulturna dediscina;Z;Unesco
Cesky raj;50.46877;15.28494;Prachovske skaly, skale nenavadnih oblik, priljubljena izletniska tocka za pohodnike, mozno spanje;Z;Zanimivo
Cesky raj;50.51517;15.23049;P za grad Trosky, asfaltiran, osvetljen, mozno spanje;P;Parking
Cesky raj;50.54439;15.19254;Hruba Skala, eden od naravnih znamenitosti v parku Cesky raj Bohemian Paradise, <a href=http://www.cesky-raj.info/en/ target=_blank>more info...</a>;Z;Zanimivo
Detenice;50.36925;15.17199;Pivovarna, restavracija Stredoveka krcma, zvecer imajo srednjeveski program z vecerjo, vitezi, carovnice, bruhalci ognja, mucenja,, vredno ogleda, <a href=http://www.krcmadetenice.cz target=_blank>more info...</a>;Z;Zanimivo
Dvur Kralove nad Labem;50.43333;15.79405;Kamp Safarikemp, cudovit, z bazenom, 21E/AD, odprt nonstop, <a href=http://www.campercontact.com/en/czech-republic/bohemen/dvur-kralove-nad-labem/51728/safari-kemp-zoo-dvur-kralove-safari-park-resort target=_blank>more info</a>;KAMP;KAMP
Dvur Kralove nad Labem;50.43464;15.79688;ZOO Dv˘r Kralove Zoo, severni beli nosorog, P pred ZOO, mozno spanje, lep, velik in zgledno urejen, <a href=http://safaripark.cz target=_blank>more info...</a>;Z;Zanimivo
Hradec Kralove;50.18876;15.88190;P Hradec Kralove v parku zastonj, kolesarjenje po parku, mozno spanje;P-Z;Parking
Hradec Kralove;50.20913;15.83216;P Hradec Kralove 30Kc/h, na osrednjem trgu, zelo lepo, zgodovinsko jedro na L bregu Labe;P;Parking
Hradec Kralove;50.21032;15.83857;P Hradec Kralove, zelo lepo, zgodovinsko jedro na L bregu Labe;P;Parking
Hradec Kralove;50.25854;15.76107;P pred arheoloskim parkom vstopnina 10Kc, mozno spanje, voda na sosednjem pokopaliscu;P-Z;Parking
Jicin;50.43707;15.35078;P, simpaticno mestece, razgledni stolp;P-Z;Parking
Krkonose;50.77555;15.53639;Izvir reke Elbe, 1400m.n.v.;Z;Zanimivo
Nachod;50.41730;16.18655;kamp Nachod, majhen, ki pa bolj spominja na skavtsko naselje, prijeten in solidno urejen;KAMP;KAMP
Teplice nad Metuji;50.59514;16.14823;P 50Kc pri vhodu v Skalno mesto, pes v park 100Kc med visokimi mogocnimi skalnimi spicami;P;Parking
Vrchlabi;50.61028;15.60250;kamp Holiday Park Lisci Farma, Dolni Branna, S ceske, Visoke Tatre, top kamp 2008;KAMP;KAMP
Harrachov;50.77294;15.42623;P Harrachoy, ob stirisedi, ki pelje ob velikanki;P;Parking
Januv dul;50.70326;14.93860;kamp 2000, lastniki Nizozemci, bazen, lepo urejen, trgovinica, bar, restavracija, igralnica, igrala, 10km JZ od Liberec;KAMP;KAMP
Kacanovy;50.54941;15.14198;Kamp z bazenom, lepo in cisto;KAMP;KAMP
Kamenicky Senov;50.77096;14.48623;P 20Kc/h, 200Kc/dan pod fenomenalno vulkansko tvorbo Panska skala, nenavadna tvorba skal v obliki razlicno zabitih stebrickov;P;Parking
Liberec;50.72985;14.98711;P pod stolpom Jested, 1000mnv nad mestom Liberec;P-Z;Parking
Turnov;50.56875;15.16599;P pod gradom Valdstejn, 50Kc/dan, v gozdu visje grad Valdstejn in Hruboskalsko, del parka Cesky Raj, s kolesom po gozdu;P-Z;Parking
Zlin;49.21938;17.65875;RALLY Zlin;Z;Zanimivo
Frydek Mistek;49.66299;18.30686;P ob jezeru, vodni park, spanje;P;Parking
Olomouc;49.58849;17.25444;P Olomouc v mestu, zelo lepo mesto, ena od 10 naj destinacij za 2013;P;Parking
Olomouc;49.59861;17.26944;Holy Trinity Column in Olomouc, UNESCO Kulturna dediscina;Z;Unesco
Chrudim;49.95157;15.79891;P Chrudim, minuta do centra;P;Parking
Litomysl;49.86792;16.32426;kamp ATC Primator, Litomysl, eno od najlepsih manjsih Ceskih mest, 2osebi+AD+E 310kron/dan;KAMP;KAMP
Litomysl;49.86974;16.31170;P Litomysl na osrednjem trgu;P;Parking
Litomysl Castle;49.87361;16.31444;Litomysl Castle, UNESCO Kulturna dediscina;Z;Unesco
Nove Hrady;49.85225;16.14359;P Nove Hrady, dvorec , ki ga imenjujejo Ceski Versailles, vrtovi vstopnina 50Kc, spanje;P;Parking
Pardubice;50.03895;15.77438;P Pardubice pri gradu,stari del mesta, razkosen grad, gotska cerkev;P;Parking
Pardubice;50.04386;15.61872;kamp Marlin, Poloostrov Melice, polotok na jezeru, 2osebi+AD+E 290kron/dan;KAMP;KAMP
Pardubice;50.04682;15.77769;Kamp Pardubice, bazeni, privlacen stari del mesta, razkosen grad, gotska cerkev, ob reki;KAMP;KAMP
Blatna;49.45708;13.78629;P pred barocnim gradom Lnare, muzej mack Kocky z vhodom iz osrednjega dvorisca, vstopnina za mini muzejcek 20Kc;P-Z;Parking
Brod nad Tichou;49.82028;12.75333;Kamp Karolina, CC13E, Brod nad Tichou, lepa narava, med 30 top CZ kampi;KAMP;KAMP
Plzen;49.69883;13.42850;P Plzen, pri nakupovalnem centru, spanje;P;Parking
Plzen;49.71509;13.35148;Kamp Borske Prehrade FKK, zraven umetnega jezera Radbuza;KAMP;KAMP-FKK
Plzen;49.74564;13.38417;P Plzen, ob reki, placljivo avtomat 20kron/h;P;Parking
Plzen;49.74786;13.38587;P Plzen, za avtobuse Pivovarne Plzen;P;Parking
Plzen;49.74993;13.38112;P Plzen, pivovarski muzej;P-Z;Parking
Plzen;49.77795;13.39368;Kamp Ostende Plzen, 5 km S iz centra, lepo urejen, voda cca 4E/tank;KAMP;KAMP
Plzen;49.77931;13.40903;kamp Bila Hora Plzen, 6 km SV iz centra, 13-15E;KAMP;KAMP
Splz;49.28139;13.24000;kamp U Dvou Orechu, CC13E, Splz, kolesarjenje, gradovi, vasice, WiFi;KAMP;KAMP
Sùahlavy;49.66817;13.52419;Veliko terasasto parkirisce pod gradom Kozel;P-Z;Parking
Cestlice;50.00741;14.57156;Aquapalace Praha, vodni park, savne, cca 30E/dan/osebo, <a href=http://www.aquapalace.ce target=_blank>more info...</a>;Z;Zanimivo
Praga;50.02710;14.36755;Vodni park, savne, blizu Prage;Z;Zanimivo
Praga;50.05583;14.41361;Kamp Praga, Cisarska louka 162, J od mesta, odprt celo leto, sanitarna postaja, tramvaj do centra na recepciji celodnevna karta, taxiboat, <a href=http://www.campercontact.com/en/czech-republic/bohemen/praag/8642/caravan-camping target=_blank>more info</a>;KAMP;KAMP
Praga;50.06241;14.41377;Caravaning kamp YACHT CLUB, AD+2osebi 20E, tus, WC, oskrba AD, privez za zastonj mestni vodni prevoz cez Vltavo, izstop za zelezniskim mostom, <a href=http://www.campercontact.com/en/czech-republic/bohemen/praag/8489/caravan-park-yacht-club target=_blank>more info</a>;KAMP;KAMP
Praga;50.07827;14.40820;ob reki, 2km do centra, mozno parkiranje;P;Parking
Praga;50.07851;14.41699;Gostilna Pri Fleku U Fleku, Svejkova postojanka, zraven je tudi pivovarski muzej, J od centra Prage;Z;Zanimivo
Praga;50.08082;14.45125;TV stolp Zizkov TV Tower, z umetniskimi skulpturami plezajocih dojenckov;Z;Zanimivo
Praga;50.08426;14.41879;Gostilna U Vejvode, v centru Prage;Z;Zanimivo
Praga;50.08435;14.40252;Petrin Hill, lep park, pomanjsan Eifel;Z;Zanimivo
Praga;50.08611;14.42083;Sex Machines Museum;Z;Zanimivo
Praga;50.08612;14.38880;Strahov Monastery, v njem je najlepsa knjiznica na svetu;Z;Zanimivo
Praga;50.08656;14.41134;Karlov most;Z;Zanimivo
Praga;50.08734;14.38864;P ~500m od Bazilike, Karlovega mostu in Petrinega stolpa, 30KC/h;P;Parking
Praga;50.08796;14.42419;Beer spa, kopalne kadi s pivom, cca 2500 CZK/uro/osebo;Z;Zanimivo
Praga;50.08833;14.58333;kamp Sokol, CC15E, V 10km od Prage, restavracija;KAMP;KAMP
Praga;50.08972;14.41944;Historic Centre of Prague, UNESCO Kulturna dediscina;Z;Unesco
Praga;50.09014;14.41156;mozno parkiranje, cez most je center;P;Parking
Praga;50.09194;14.47306;kamp Zizkov Praga, blizu centra, tramvaj 50m od vhoda v kamp 18 kron karta v eni smeri, pes 0,5h do starega mesta;KAMP;KAMP
Praga;50.11401;14.42647;kamp River Camping Prague, S nad Prago, majhen in urejen kamp, tramvaj 500m proc;KAMP;KAMP
Praga;50.11479;14.41211;P pred Zamecky park Troja, zraven je ZOO;P;Parking
Praga;50.11495;14.40838;P ZOO Praga, parking 200Kc, vstopnina 200Kc;P;Parking
Praga;50.11719;14.42515;Avtokamp Trojska, 7km do centra, cca 10E/24h;KAMP;KAMP
Praga;50.11722;14.43194;kamp Dana Troja, Praga, vec kampov v ulici;KAMP;KAMP
Praga;50.12530;14.51408;P in spanje P+R Letnany, za ograjo, varno, podzemna 5E/dan, do centra 9km;P;Parking
Praga;50.15268;14.44969;Kamp Triocamp, 29E/AD, bazen, <a href=http://www.campercontact.com/en/czech-republic/bohemen/praag/20205/triocamp-praha target=_blank>more info</a>;KAMP;KAMP
Probostska jezera;50.20243;14.65626;KAMP, manjsi 10E/AD, umazane sanitarije;KAMP;KAMP
Stara Boleslav;50.18807;14.66518;P, pod zanimivim dvorcem Zamek Brandys nad Labem, umetni kanal, kajakasi;P;Parking
Benesov;49.78308;14.65955;P grad Konopiste, po ceniku AD 300CZK/24h racunal samo 100CZK, rezidenca avstroogrskega prestolonaslednika Ferdinanda, lovske trofeje, zbirka orozja, Jawa muzej;P;Parking
Ceski Sternberk;49.80778;14.92424;P grad Ceski Sternberk, pri gradu;P;Parking
Ceski Sternberk;49.81008;14.92784;P grad Ceski Sternberk, pod gradom;P;Parking
Dobris;49.77922;14.17854;P, spanje, skozi ozek vhod po drevoredu do P;P;Parking
Dolny Brezani;49.95139;14.47500;Kamp Oase Praga, CC-15E, 20km JV od Prage, do mesta bus I-V-E, bazen, savna, trampolin, igrala, rocni nogomet;KAMP;KAMP
Karlstejn;49.93274;14.18010;P pred Taverno Ezopa, odlicna hrana in pivo, mozno spanje;P;Parking
Karlstejn;49.93312;14.18464;Grad Karlstejn, velik javni parking, 10min free, edina moznost za AD je 350CZK/24h!;Z;Zanimivo
Karlstejn;49.93373;14.17030;Kamp Hospodarska cinnost, ob reki 1km Z od Karlstejn, pes do gradu;KAMP;KAMP
Karlstejn;49.94317;14.18407;Parkirisce penziona z gostiscem Pod Draci Skalou, do gradu Karlstejn 10min hoje v hrib po gozdu, naprej proti mestu Karlstejn je cesta zaprta.;P;Parking
Kutna Hora;49.94492;15.26223;Cerkev sv. Barbare, zelo lepa, v blizini ni mozno parkirati;Z;Zanimivo
Kutna Hora;49.94743;15.26068;P Kutna Hora, za policijo, rudnisko mesto z barocno cerkvijo in rudnikom ala Idrija;P;Parking
Kutna Hora;49.94751;15.27765;P brez oskrbe, brezplacno, cca 20min do kostnice;P;Parking
Kutna Hora;49.94954;15.26838;Prestolnica ceskih kraljev, kovnica denarja, gotska cerkev svete Barbare in grad;Z;Zanimivo
Kutna Hora;49.95035;15.26672;P Kutna Hora, ob cesti v centru;P;Parking
Kutna Hora;49.95414;15.26042;Kamp, 11E/AD;KAMP;KAMP
Kutna Hora;49.95926;15.28795;P Kutna Hora, ob cesti v blizini bivsega samostana;P;Parking
Kutna Hora;49.96194;15.28806;P kostnica v Kutni Hori, 9-16h, 60 CZK, zlozene lobanje in ostale kosti, vse okrasje iz kosti;P-Z;Parking
Kutna Hora;49.96455;15.30279;Kamp Transit Kutna Hora, Malin 35, 2osebi, AD, E 350kron/dan;KAMP;KAMP
Lom Velka Amerika;49.96178;14.20200;P ob kraskem udoru kanjonu, impozantno, sprehod, poleti kopanje;P;Parking
Melnik;50.35366;14.46801;P pri jadralnem klubu, brezplacno, <a href=http://www.campercontact.com/en/czech-republic/bohemen/melnik/62542/parking-yacht-club target=_blank>more info</a>;P;Parking
Mlada Boleslav;50.42002;14.91246;P Mlada Boleslav, Skoda avto muzej;P;Parking
Revnicov;50.17337;13.83968;Kamp Bucek, CC-15E, 35km Z od Prage, vrhunsko opremljen, E-I-WC-tusi, internet, pokrit bazen, ob jezeru;KAMP;KAMP
Terezin;50.42040;14.46460;Devil s Head, Certovy Hlavy, cca 10m visoke kamnite glave, <a href=http://en.wikipedia.org/wiki/%C4%8Certovy_hlavy target=_blank>more info...</a>;Z;Zanimivo
Velke Popovice;49.92180;14.63656;P, brezplacno, 50m od pivnice in pivovarne Kozel, spanje, chem WC ala Dixi;P-WC;PZA
Vrane nad Vltavo;49.93278;14.37222;Kamp Matyas, CC-13E, 20km J od Prage, do centra vlak 20min, ob Vltavi, kolesarska do Prage;KAMP;KAMP
Zleby;49.88883;15.48435;P Zleby za majhen simpaticen grad;P;Parking
Hrensko;50.87444;14.25250;P, izhodisce za Pravcicka Brana, najvecji naravni most v evropi, po cesti pes ali z busom, skupaj cca 3.2km;P;Parking
Hrensko;50.88096;14.27007;Pravcicka Brana, od tu po gozdni poti cca 1km, ni mozen parking;Z;Zanimivo
Litomerice;50.53399;14.13118;P Litomerice na osrednjem trgu, izredno lepo mesto iz 13.stol., parking 30Kc/16h;P;Parking
Mezni Louka;50.87250;14.31623;P Mezni Louka 200Kc 8-16h, spanje, mirno, v blizini je tudi avtokamp, pes 1.5h po prelepi gozdni stezi do naravnega mostu in lepe stavbe Sokolje gnezdo;P;Parking
Pravcicka Brana;50.88368;14.28133;Pravcicka Brana, najvecji naravni most v evropi, pes 1.5h od Mezni Louka, vstopnina 75Kc;Z;Zanimivo
Sneznik;50.79349;14.10904;Decinsky Sneznik razgledni stolp, skale;Z;Zanimivo
Terezin;50.51278;14.14632;P Terezin, nacisticni zapori v trdnjavi, geto, rovi, krematorij;P;Parking
Zubrnice;50.64688;14.21795;P Zubrnice, zanimiv muzej stare zeleznice na prostem;P-Z;Parking
Buchlovice;49.08534;17.33725;P Terezin, nacisticni zapori v trdnjavi, geto, rovi, krematorij;P;Parking
Buchlovice;49.10855;17.31144;P grad Buchlov, parkirnina-50 kron, na P restavracija z dobrim pivom;P;Parking
Kromeriz;49.29779;17.38365;P Kromeriz, palaca z vrtovi vstopnina 80Kc;P;Parking
Kromeriz;49.30000;17.37722;Gardens and Castle at Kromeriz, UNESCO Kulturna dediscina;Z;Unesco
Bar;42.08030;19.12914;P za 2000 let staro oljko Staro maslino 1E/os;P-Z;Parking
Bar;42.09424;19.09307;P Bar v slepi ulici pod borovci med hotelom in marino;P;Parking
Bar;42.10437;19.09414;P pri sportni dvorani, asfaltirano, cca 600m do plaze;P;Parking
Bar;42.10597;19.09093;P, sportni park, asfaltirano, osvetljeno, zraven plaze;P;Parking
Bar;42.10761;19.08903;P Bar v borovem gozdicku blizu plaze na zacetku promenade;P;Parking
Donji Murici;42.16337;19.22173;Kamp Donji Murici, ob obali Skadarskega jezera, gostilna, vsa oskrba, 3x tedensko dostava s kombijem, mozno spanje tudi izven kampa, brez oskrbe, lepo, v blizini otok Beska z zenskim samostanom;KAMP;KAMP
Stari Bar;42.09234;19.13290;P, veliko parkirisce, 5E, za ogled razvalin na hribu, lapidarija in citadele 2E/os;P;Parking
Sutomore;42.12488;19.06666;P 1.5km J od Sutomore;P;Parking
Sutomore;42.13837;19.04654;P blizu plaze;P;Parking
Virpazar;42.24638;19.09179;P Virpazar ob obali Skadarskega jezera, enourni izlet z barko 20E, spanje;P-Z;Parking
Virpazar;42.24733;19.09029;P na robu slepe makadamske ceste, na obrobju, spanje;P;Parking
Virpazar;42.27258;19.12357;P makadamsko parkirisce ob nasipu, pogled na Skadarsko jezero;P;Parking
Lokve;42.83157;20.02159;smucisce Lokve, zicnica, planina, borovnice, jagode;Z;Zanimivo
Savnik;42.99115;19.66805;P na jasi tik ob bistri reki Komarnici, kolesarjenje, mozno spanje;P-Z;Parking
Boreti;42.28367;18.86466;Kamp v Becici, star olivnjak, <a href=http://www.avtokampi.si/kamp/4/224/Avala target=_blank>more info</a>;KAMP;KAMP
Budva;42.28453;18.84075;P, 1E od 6 do 22, 1.5E od 22 do 6 ure;P;Parking
Budva;42.28749;18.84241;P Budva, placljivo 0.7E/h pred Slovensko plazo, od starega mesta oddaljen prevec, lahko ob cesti parkiras blize;P;Parking
Buljarica;42.19340;18.96557;Kamp Buljarica, ob dolgi pesceni plazi, 3E na osebo, 6E kamper, 0.8E taksa, <a href=http://www.avtokampi.si/kamp/4/243/Buljarica target=_blank>more info</a>;KAMP;KAMP
Petrovac;42.19521;18.96365;Kamp Buljarica, poceni, lahko FKK, <a href=http://www.avtokampi.si/kamp/4/243/Buljarica target=_blank>more info</a>;KAMP;KAMP-FKK
Petrovac;42.19807;18.96607;Kamp Maslina, 19E komplet oskrba, 200m do pescene plaze, <a href=http://www.avtokampi.si/kampi/kamp-maslina target=_blank>more info</a>;KAMP;KAMP
Petrovac;42.20152;18.95044;Plaza Lucica pri Petrovcu, manjsi slikovit zaliv, spanje;P-Z;Parking
Petrovac;42.20693;18.94185;P Petrovac, v centru, spanje;P;Parking
Przno;42.26711;18.89267;P pred portalom za hotele Sv.Stefan, Milocer in Kraljicina plaza, 1km S od Sveti Stefan, spanje;P;Parking
Sveti Stefan;42.25605;18.89490;P Sv.Stefan, zvecer brezplacno, cez dan 5E/uro;P;Parking
Sveti Stefan;42.25691;18.89720;P, ob cesti za ogled otoka Sv. Stefan, brezplacno;P;Parking
Cetinje;42.38479;18.92101;P pred letnim gledaliscem na makadamu, blizu gozd, spanje, 5min do centra;P;Parking
Cetinje;42.38713;18.92640;P Cetinje na ulici pred parkom, Njeguseva biljardo, Cetinjski manastir, ostanki starega samostana, cerkev, dvorec;P;Parking
Ivanova korita;42.37773;18.83993;Izvir vode ob cesti Ivanovih korit;V;Voda
Ivanova korita;42.37954;18.83219;P ob restavraciji, ogled sportnega kompleksa;P;Parking
Lovcen;42.37951;18.83603;P pred upravo NP Lovcen, v blizini so Ivanova korita, pustolovski park;P-Z;Parking
Lovcen;42.39794;18.84014;Mini okrogel P na stropu restavracije brezplacno, za obisk Njegosevega mavzoleja z vstopnino 3E/os;P-Z;Parking
Lovcen;42.40073;18.82711;P na odcepu za Cetinje, spanje, cca 1500 m.n.v., od tu pes do mavzole;P;Parking
Lovcen;42.40404;18.81414;Lovcen, voznja proti vrhu med 18h in 9h zjutraj ni dovoljena;Z;Zanimivo
Njegusi;42.43271;18.82886;Njegoseva rojstna hisa sredi vasi, muzej, 2E vstopnine;Z;Zanimivo
Podgorica;42.67508;19.02990;P manastir Ostrog, 17.stol. vsekan v skalo nmv 838m, cesta do tja je prava katastrofa;P;Parking
Donja Lastva;42.46011;18.68274;Kamp Verige, 10E, tik ob morju;KAMP;KAMP
Kamenari;42.46690;18.67502;Trajekt Boka Kotorska Lepetane - Kamenari;Z;Zanimivo
Kotorski zaliv;42.48670;18.65254;Kamp v Kostanjici, Z Kotorski zaliv, <a href=http://www.avtokampi.si/kamp/4/234/Naluka target=_blank>more info</a>;KAMP;KAMP
Morinj;42.48822;18.65151;Lep zaliv, kopanje;Z;Zanimivo
Zelenika;42.45068;18.57233;P pri carinskem pomolu, varovano za 2 pira, spanje;P;Parking
Kolasin;42.76449;19.38970;P ob opuscenem hotelu in hkrati poti do samostana manastir Moraca , reka in cesta v soteski, spanje, velicastno speljana cesta;P;Parking
Kolasin;42.76611;19.39061;Manastir Moraca;Z;Zanimivo
Kolasin;42.82284;19.52232;P brezplacno, v blizini policijske postaje, v centru;P;Parking
Budva;42.28466;18.80370;P kamp Jaz, blizu Budve, plaza 50m, FKK 500m, 15E, tus in WC sicer je, vendar zasvinjan do maksimuma, voda cista, <a href=http://www.avtokampi.si/kamp/4/223/Jaz target=_blank>more info</a>;KAMP;KAMP-FKK
Jaz;42.26967;18.78366;P ob plazi Ploce, J od Jaz, Z od Budve, 5km od glavne ceste Budva Tivat, ob morju, izven sezone spanje, zelo mirno;P;Parking
Kotor;42.38939;18.73966;bencinska crpalka Vuk Petrol, spanje BP;P;Parking
Kotor;42.42175;18.76433;P makadam, avtobusi, brezplacno, 10min pes do vrat mestnega obzidja;P;Parking
Kotor;42.42466;18.77123;Natural and Culturo-Historical Region of Kotor, UNESCO Kulturna dediscina;Z;Unesco
Kotor;42.42585;18.77139;Poceni gostilna, pivo 1E, v lasti drustva invalidov;Z;Zanimivo
Kotor;42.42803;18.76843;P Kotor ob obali, gramoz, nasproti stavbe Jugopetrola, tik pred marino, za ogled mesta, ki je pod Unescovo zascito;P;Parking
Kotor;42.48350;18.73350;Kotorski zaliv, parking ob gostiscu;P;Parking
Perast;42.48391;18.70900;P ob cesti, za otocke Gospa od Skrpjela in Sveti Dorde, brezplacno, zraven je uradno parkirisce 5E/uro;P;Parking
Perast;42.48738;18.69866;P, ob cesti, brezplacno;P;Parking
Biogradska gora;42.91724;19.57843;Rampa za vstop v NP Biogradska Gora, 3E/osebo, <a href=http://nparkovi.me/np-biogradska-gora target=_blank>more info...</a>;Z;Zanimivo
Biogradsko jezero;42.90073;19.59555;P ob Biogradskem jezeru, 10E/AD za spanje, pragozd, sprehod okoli jezera po lepi sprehajalni stezi, vstopnina v park 3E, zapirajo ob 19h, <a href=http://www.campercontact.com/en/montenegro/montenegro/biogradska-gora-national-park/23532/camping-biogradsko-jezero target=_blank>more info</a>;P;Parking
Dobrilovina;43.01686;19.41030;Kamp Suza Evrope, za vse ribice muharje, priporocam predvsem zaradi prijaznosti domacinov in pa muharskega raja;KAMP;KAMP
Mojkovac;42.98952;19.41088;P pri gostiscu ob cesti, ki ima tudi svoj konkreten izvir gorske reke, dobra hrana;P;Parking
Niksic;42.77036;18.95132;P parkirisce za cerkev Svetog Vasilija Ostroskog in palace kralja Nikole;P-Z;Parking
Niksic;42.77178;18.95247;P parkirisce od komunale in stanovalcev;P;Parking
Plavsko jezero;42.54991;19.82626;P pri Alipasinih izvirih, kjer iz hriba privre na dan kar mogocna reka, mozno spanje;P-Z;Parking
